"itemId","ItemName","Production","Consumption","Remaining"
"3","Veg Pizza Wrap","148","1350","-1202"
"4","Chiken Pizza Wrap","350","1478","-1128"
"5","Chocolate Danish","153","151","2"
"34","Cheese Bread","30","32","-2"
"36","Cheese Croissant","188","99","89"
"38","Chicken Bun","188","87","101"
"40","Chicken Patty","748","784","-36"
"42","Chicken Roll","230","248","-18"
"54","Cream Croissant","92","86","6"
"78","Plain Croissant","2700","809","1891"
"79","Plain Doughnut","1593","748","845"
"91","Veg Patty","147","153","-6"
"95","White Bread Small","392","268","124"
"98","Milk Bread ","40","45","-5"
"105","Brown Bread Small","160","91","69"
"217","Burger bun ","190","214","-24"
"221","baked cheese cake","130","66","64"
"287","swiss roll","85","57","28"
"319","American Brownie","110","71","39"
"320","Small Doughnut","1829","991","838"
"341","Sausage Roll","715","338","377"
"1004","Peach Danish","36","21","15"
"1005","Veg Bun","36","31","5"