"itemId","ItemName","Production","Consumption","Remaining"
"2","Fruit Cake Small ","1500","3582","-2082"
"3","Veg Pizza Wrap","38480","6750","31730"
"4","Chiken Pizza Wrap","1325","5912","-4587"
"5","Chocolate Danish","867","604","263"
"25","Banana Bread Big","15","55","-40"
"26","Banana Bread Small","18","19","-1"
"34","Cheese Bread","180","128","52"
"36","Cheese Croissant","1081","594","487"
"38","Chicken Bun","423","261","162"
"40","Chicken Patty","8636","6272","2364"
"42","Chicken Roll","1840","1488","352"
"49","Chocolate Muffin","164","245","-81"
"50","Cinnamon Danish","390","375","15"
"54","Cream Croissant","598","430","168"
"64","Fruit Cake Big","7","7","0"
"67","Hot Dog Bun","60","34","26"
"71","Mushroom Patty","684","356","328"
"75","Pineapple Danish","352","360","-8"
"78","Plain Croissant","26700","8090","18610"
"79","Plain Doughnut","3894","2992","902"
"80","Plain Muffin","306","417","-111"
"91","Veg Patty","1421","918","503"
"95","White Bread Small","2100","1072","1028"
"98","Milk Bread ","160","135","25"
"103","Italian Bread","32","18","14"
"105","Brown Bread Small","540","364","176"
"108","French Bread ","198","165","33"
"109","Chocolate Pastry","69","30","39"
"114","Mocca And Nougatine Pastry","40","18","22"
"117","Blueberry Cheese Cake","40","14","26"
"118","Grand Chocolate Truffle ","5","4","1"
"175","Vanilla Cake","12","6","6"
"178","Chocolate Cake ","38","15","23"
"185","Blueberry  Cake ","1","1","0"
"197","White Forest Pastry","76","45","31"
"198","Black Forest Pastry","90","48","42"
"214","Redvelvet Pastry","12","9","3"
"217","Burger bun ","1380","1070","310"
"221","baked cheese cake","520","264","256"
"249","French Bread Small","184","115","69"
"261","Hot dog ","24","12","12"
"264","choco lava ","48","99","-51"
"287","swiss roll","170","114","56"
"310","Coconut brownie","20","10","10"
"319","American Brownie","330","213","117"
"320","Small Doughnut","5487","3964","1523"
"341","Sausage Roll","2640","1352","1288"
"1001","Coconut Macoroon ","30","27","3"
"1003","Mini Mixed Pizza","132","82","50"
"1004","Peach Danish","120","126","-6"
"1005","Veg Bun","108","93","15"
"1012","Opera Pasty","8","4","4"